ngay,ngay_thu,dacbiet,giainhat,giainhi_0,giainhi_1,giaiba_0,giaiba_1,giaiba_2,giaiba_3,giaiba_4,giaiba_5,giaitu_0,giaitu_1,giaitu_2,giaitu_3,giainam_0,giainam_1,giainam_2,giainam_3,giainam_4,giainam_5,giaisau_0,giaisau_1,giaisau_2,giaibay_0,giaibay_1,giaibay_2,giaibay_3
20020329,5,60333,56620,55020,93368,77254,83478,59783,77025,81700,1929,1929,3998,3106, ,1815,6028,7700,5048, , ,837,119,530,85,75,49,71
20020330,6,17887,81998,44827,33000,18926,80423,34474,09901,57547,5824,5824,1989,9606, ,7736,9042,5060,7683, , ,354,942,291,48,36,19,50
20020331,0,80920,77115,04759,94440,05473,32660,63710,17204,49184,6128,6128,0131,7894, ,1757,6770,1138,4252, , ,029,649,242,31,18,46,57
20020401,1,47133,81918,56728,25576,41954,77532,94903,23485,73273,5774,5774,4295,4307, ,2513,7377,8623,6585, , ,663,480,962,84,90,69,07
20020402,2,25702,02061,20386,79490,51643,67491,86135,44220,19397,6256,6256,7983,0977, ,9221,0908,4631,1479, , ,607,055,900,04,25,59,90
20020403,3,61937,57852,69884,84424,46016,77809,90667,70472,18225,2052,2052,3472,0950, ,1824,9714,0920,9700, , ,149,236,971,84,65,31,83
20020404,4,27773,92034,07611,10799,18039,17407,81473,61036,22905,2960,2960,4283,8533, ,8814,6094,5565,1023, , ,948,339,681,50,41,93,48
20020405,5,18679,37661,64970,19984,34246,12258,56489,83721,27069,4596,4596,0811,8944, ,5415,1477,1646,3149, , ,851,656,677,63,51,45,37
20020406,6,84477,68319,58217,92236,04835,92499,42557,78378,12081,0802,0802,7448,9913, ,0770,1578,4174,7581, , ,185,499,329,14,89,45,41
20020407,0,34192,69799,18358,87031,32560,58563,19035,45322,61128,9438,9438,9851,5738, ,7712,5305,0604,8976, , ,788,131,700,81,08,12,11
20020408,1,20998,81680,99686,69402,62621,02577,43990,01045,74792,4561,4561,1205,0187, ,3139,8777,5690,1600, , ,221,929,380,63,38,60,70
20020409,2,67373,08134,10603,47107,48979,45541,81548,74439,57709,8755,8755,4246,1113, ,6956,9412,7198,9306, , ,901,472,246,39,71,02,62
20020410,3,44323,12688,48219,27868,74909,12819,54285,76186,26961,5231,5231,3076,9613, ,7592,5715,3114,1872, , ,414,476,966,28,85,05,65
20020411,4,54072,68047,04791,70517,53103,35854,73056,24310,98600,9238,9238,7695,9258, ,9165,1451,9409,7092, , ,015,823,272,25,46,04,71
20020412,5,51046,25976,80918,14186,02458,04807,95379,38322,70642,4531,4531,7360,5202, ,1627,4616,4911,3090, , ,445,635,278,33,76,09,10
20020413,6,96919,64477,44203,98718,33905,33856,30847,50923,45653,2200,2200,4113,7616, ,6626,5868,9075,5299, , ,881,712,674,78,99,08,58
20020414,0,35230,19314,26720,52305,92156,75550,22037,62334,18635,1750,1750,7242,9950, ,7149,0412,8076,2865, , ,136,848,400,61,02,79,16
20020415,1,06915,52273,55164,27716,69003,95089,37260,42577,29222,0358,0358,8191,9478, ,9832,7831,8583,4881, , ,221,149,708,57,31,42,79
20020416,2,41778,13604,55169,55094,21158,35255,44775,08796,34972,8929,8929,8682,7660, ,4918,3798,2279,8629, , ,486,909,550,37,71,09,50
20020417,3,58595,95351,94774,31602,43244,31539,63954,58629,80796,2999,2999,0046,4619, ,0996,9449,6402,8585, , ,415,448,853,52,42,50,66
20020418,4,16206,02590,45791,42781,63876,79806,91552,94242,39043,8233,8233,5812,8542, ,2802,5347,5877,3801, , ,673,263,737,19,70,12,84
