gt_0,gt_1,gt_2,gt_3,gt_4,gt_5,gt_6,gt_7,gt_8,gt_9,gt_10,gt_11,gt_12,gt_13,gt_14,gt_15,gt_16,gt_17,gt_18,gt_19,gt_20,gt_21,gt_22,gt_23,gt_24,gt_25,gt_26,gt_27,gt_28,gt_29,gt_30,gt_31,gt_32,gt_33,gt_34,gt_35,gt_36,gt_37,gt_38,gt_39,gt_40,gt_41,gt_42,gt_43,gt_44,gt_45,gt_46,gt_47,gt_48,gt_49,gt_50,gt_51,gt_52,gt_53,kq_0,kq_1,kq_2,kq_3,kq_4,kq_5,kq_6,kq_7,kq_8,kq_9,kq_10,kq_11,kq_12,kq_13,kq_14,kq_15,kq_16,kq_17,kq_18,kq_19,kq_20,kq_21,kq_22,kq_23,kq_24,kq_25,kq_26
67340,48192,79514,00305,73249,80413,43482,28571,77081,0057,0057,3532,8584,0987,4113,8234,7940,6181,3228,4647,669,225,317,31,73,06,97,38860,03890,83116,32765,02247,47308,11528,77762,43910,7492,7492,1507,8809,5056,8792,1959,0284,5618,0916,1190,218,477,312,34,97,74,11,69,13,43,25,32,10,32,38,29,36,36,26,65,40,38,11,06,65,49,35,26,65,61,95,86,92,06
38860,03890,83116,32765,02247,47308,11528,77762,43910,7492,7492,1507,8809,5056,8792,1959,0284,5618,0916,1190,218,477,312,34,97,74,11,45023,45281,19173,37997,24179,17196,52801,48309,09485,2090,2090,1890,4567,5873,4236,7168,7620,3949,1973,3698,124,411,032,40,20,07,18,81,18,90,78,73,50,61,01,46,86,86,30,67,41,97,74,98,69,44,50,58,53,72,28,84,12,44
45023,45281,19173,37997,24179,17196,52801,48309,09485,2090,2090,1890,4567,5873,4236,7168,7620,3949,1973,3698,124,411,032,40,20,07,18,14169,29413,19543,80825,68532,41010,27932,04938,20729,1336,1336,4926,8665,9040,4238,7611,5906,7365,6349,7335,226,765,361,95,86,92,06,17,80,07,66,64,72,59,80,33,36,36,46,01,04,98,33,80,81,45,84,08,97,94,88,08,51,04
14169,29413,19543,80825,68532,41010,27932,04938,20729,1336,1336,4926,8665,9040,4238,7611,5906,7365,6349,7335,226,765,361,95,86,92,06,43681,08518,98390,56378,67873,52250,88761,97601,47046,2586,2586,9230,1367,3241,8597,7874,9598,3069,7344,5650,958,153,072,28,84,12,44,34,54,90,49,56,03,62,91,77,79,79,32,23,17,60,74,32,86,73,37,64,21,61,53,26,29,69
43681,08518,98390,56378,67873,52250,88761,97601,47046,2586,2586,9230,1367,3241,8597,7874,9598,3069,7344,5650,958,153,072,28,84,12,44,82717,84580,09307,89666,16964,38472,80159,11380,32933,7536,7536,5446,0501,5004,4798,9533,3480,9181,8945,5984,308,997,594,88,08,51,04,53,43,60,13,89,56,26,98,60,49,49,83,37,21,67,41,80,96,16,22,34,81,41,77,90,84,26
82717,84580,09307,89666,16964,38472,80159,11380,32933,7536,7536,5446,0501,5004,4798,9533,3480,9181,8945,5984,308,997,594,88,08,51,04,70234,90654,06690,66349,48456,69403,33462,12491,32977,1079,1079,7332,6523,1617,6960,5174,7932,2586,8473,2637,464,821,261,53,26,29,69,65,25,39,12,65,75,64,26,85,75,75,22,56,39,84,50,54,67,99,55,26,44,40,79,58,53,76
70234,90654,06690,66349,48456,69403,33462,12491,32977,1079,1079,7332,6523,1617,6960,5174,7932,2586,8473,2637,464,821,261,53,26,29,69,15453,33943,52760,72813,56889,64856,20826,52298,88760,7149,7149,8283,9237,1821,6667,4441,8380,9896,3316,2122,434,181,741,77,90,84,26,96,03,03,36,45,98,93,81,32,30,30,44,08,33,04,21,04,96,45,12,59,37,37,77,88,90,56
15453,33943,52760,72813,56889,64856,20826,52298,88760,7149,7149,8283,9237,1821,6667,4441,8380,9896,3316,2122,434,181,741,77,90,84,26,14165,09125,14039,40712,08065,97275,53864,24526,39085,3875,3875,2322,2656,4839,1184,4050,6354,2167,4099,6955,726,544,340,79,58,53,76,05,60,77,86,78,36,80,83,33,16,16,11,91,46,60,17,41,95,81,46,50,65,92,22,12,42,79
14165,09125,14039,40712,08065,97275,53864,24526,39085,3875,3875,2322,2656,4839,1184,4050,6354,2167,4099,6955,726,544,340,79,58,53,76,92296,40203,73503,67636,39245,37598,10693,26181,45032,4130,4130,9444,6408,6033,4404,7221,4104,7396,7245,4312,059,437,537,77,88,90,56,92,66,41,87,22,88,47,26,48,40,40,85,13,15,49,77,10,20,10,10,89,19,69,05,12,47,11
92296,40203,73503,67636,39245,37598,10693,26181,45032,4130,4130,9444,6408,6033,4404,7221,4104,7396,7245,4312,059,437,537,77,88,90,56,88705,52960,64177,15386,89378,14036,48680,83183,78633,1916,1916,3311,5291,9346,7160,7117,5741,6695,1781,0346,950,765,692,22,12,42,79,85,20,41,61,64,57,60,89,89,21,21,39,95,34,05,93,60,52,89,54,78,23,68,41,30,87,49
88705,52960,64177,15386,89378,14036,48680,83183,78633,1916,1916,3311,5291,9346,7160,7117,5741,6695,1781,0346,950,765,692,22,12,42,79,28192,18966,99241,00287,09422,05188,02947,02726,72948,5340,5340,5985,0513,2815,5049,8177,8310,4120,1510,6010,589,919,469,05,12,47,11,87,08,78,48,59,34,41,66,46,95,95,73,94,73,95,03,98,15,95,37,11,86,92,54,50,52,38
28192,18966,99241,00287,09422,05188,02947,02726,72948,5340,5340,5985,0513,2815,5049,8177,8310,4120,1510,6010,589,919,469,05,12,47,11,24485,81720,75941,63761,27464,51457,26560,86989,57689,9921,9921,9739,7695,3834,3605,0693,6060,1652,0089,5454,978,323,768,41,30,87,49,59,98,89,79,93,26,58,25,60,56,56,51,88,23,91,22,11,17,82,05,35,25,70,75,78,32,68
24485,81720,75941,63761,27464,51457,26560,86989,57689,9921,9921,9739,7695,3834,3605,0693,6060,1652,0089,5454,978,323,768,41,30,87,49,65787,19808,73478,21348,40359,24234,64341,55666,32346,8895,8895,8873,4794,8373,1195,2003,2398,4515,4395,5037,111,686,692,54,50,52,38,62,89,53,09,30,81,72,12,49,63,63,39,10,56,39,20,02,72,79,98,59,71,21,98,34,11,22
65787,19808,73478,21348,40359,24234,64341,55666,32346,8895,8895,8873,4794,8373,1195,2003,2398,4515,4395,5037,111,686,692,54,50,52,38,59759,15498,63189,92079,53993,29126,08858,40625,48560,8256,8256,9751,8388,9423,6491,4322,5011,6017,5582,6105,235,825,270,75,78,32,68,26,02,80,53,31,78,77,80,98,48,48,00,42,98,88,41,83,98,88,92,49,18,18,75,38,25,71
59759,15498,63189,92079,53993,29126,08858,40625,48560,8256,8256,9751,8388,9423,6491,4322,5011,6017,5582,6105,235,825,270,75,78,32,68,38562,45489,25753,65709,53030,66181,96172,97912,37749,7663,7663,2139,1810,6456,6439,1520,5202,6072,7579,6898,659,171,421,98,34,11,22,47,36,83,58,32,82,75,32,31,83,83,79,87,07,31,28,76,02,61,73,31,94,03,96,08,94,91
38562,45489,25753,65709,53030,66181,96172,97912,37749,7663,7663,2139,1810,6456,6439,1520,5202,6072,7579,6898,659,171,421,98,34,11,22,67926,06402,15780,80353,02631,70578,78177,74080,69398,1048,1048,2200,4842,5198,1588,2741,9583,8798,1888,6792,549,918,018,75,38,25,71,35,50,06,77,12,32,87,59,88,97,97,62,61,52,52,00,96,68,56,81,29,11,42,50,89,82,36
