gt_0,gt_1,gt_2,gt_3,gt_4,gt_5,gt_6,gt_7,gt_8,gt_9,gt_10,gt_11,gt_12,gt_13,gt_14,gt_15,gt_16,gt_17,gt_18,gt_19,gt_20,gt_21,gt_22,gt_23,gt_24,gt_25,gt_26,gt_27,gt_28,gt_29,gt_30,gt_31,gt_32,gt_33,gt_34,gt_35,gt_36,gt_37,gt_38,gt_39,gt_40,gt_41,gt_42,gt_43,gt_44,gt_45,gt_46,gt_47,gt_48,gt_49,gt_50,gt_51,gt_52,gt_53,kq_0,kq_1,kq_2,kq_3,kq_4,kq_5,kq_6,kq_7,kq_8,kq_9,kq_10,kq_11,kq_12,kq_13,kq_14,kq_15,kq_16,kq_17,kq_18,kq_19,kq_20,kq_21,kq_22,kq_23,kq_24,kq_25,kq_26
64267,37637,78614,19213,33545,38206,85775,29461,63427,6774,6774,1984,3924,1409,9327,5284,4175,6181,3820,3728,681,285,167,07,00,60,46,52554,98214,62736,64202,67724,79476,14818,03188,02447,3286,3286,2383,9594,8584,7984,5640,7179,2332,1511,4163,817,094,537,66,15,93,92,84338,23566,54585,74562,03091,40729,09984,37201,97796,5994,5994,4050,4333,1486,3968,4933,2787,4496,4418,1419,968,021,844,25,06,16,19
52554,98214,62736,64202,67724,79476,14818,03188,02447,3286,3286,2383,9594,8584,7984,5640,7179,2332,1511,4163,817,094,537,66,15,93,92,02993,45965,83209,26096,91350,27197,33041,31049,01443,8880,8880,1011,6461,6816,1143,4337,8230,7249,9593,7275,855,475,701,08,96,58,89,67483,50109,20363,46322,26544,50749,45963,19480,10476,9679,9679,6527,9816,5568,3256,0185,6298,2974,0744,7268,213,857,868,33,89,92,38
02993,45965,83209,26096,91350,27197,33041,31049,01443,8880,8880,1011,6461,6816,1143,4337,8230,7249,9593,7275,855,475,701,08,96,58,89,84338,23566,54585,74562,03091,40729,09984,37201,97796,5994,5994,4050,4333,1486,3968,4933,2787,4496,4418,1419,968,021,844,25,06,16,19,57658,29601,23795,64004,55786,78190,37938,50909,10560,5575,5575,5409,7934,0836,4359,2071,3273,3831,2991,7185,269,434,140,96,13,17,09
84338,23566,54585,74562,03091,40729,09984,37201,97796,5994,5994,4050,4333,1486,3968,4933,2787,4496,4418,1419,968,021,844,25,06,16,19,67483,50109,20363,46322,26544,50749,45963,19480,10476,9679,9679,6527,9816,5568,3256,0185,6298,2974,0744,7268,213,857,868,33,89,92,38,36300,88855,07792,60646,12521,18585,46063,88996,12053,8029,8029,3803,4806,9053,6926,8931,5067,2048,2367,3686,608,716,268,40,60,29,93
67483,50109,20363,46322,26544,50749,45963,19480,10476,9679,9679,6527,9816,5568,3256,0185,6298,2974,0744,7268,213,857,868,33,89,92,38,57658,29601,23795,64004,55786,78190,37938,50909,10560,5575,5575,5409,7934,0836,4359,2071,3273,3831,2991,7185,269,434,140,96,13,17,09,23516,68170,32530,85047,54741,44645,65658,58739,45050,7163,7163,5563,0194,9111,8210,7394,3287,0655,3955,6517,573,407,401,00,28,21,89
57658,29601,23795,64004,55786,78190,37938,50909,10560,5575,5575,5409,7934,0836,4359,2071,3273,3831,2991,7185,269,434,140,96,13,17,09,36300,88855,07792,60646,12521,18585,46063,88996,12053,8029,8029,3803,4806,9053,6926,8931,5067,2048,2367,3686,608,716,268,40,60,29,93,37192,00077,86815,84727,23880,31070,79983,90465,31117,8977,8977,8616,8512,4264,9731,6442,8060,4724,6182,9471,565,410,026,88,74,47,27
36300,88855,07792,60646,12521,18585,46063,88996,12053,8029,8029,3803,4806,9053,6926,8931,5067,2048,2367,3686,608,716,268,40,60,29,93,23516,68170,32530,85047,54741,44645,65658,58739,45050,7163,7163,5563,0194,9111,8210,7394,3287,0655,3955,6517,573,407,401,00,28,21,89,69796,99638,83536,97295,85195,28824,42550,15400,95339,2154,2154,3895,1616,3142,5396,2032,5570,6204,0956,6434,545,406,314,42,62,73,54
23516,68170,32530,85047,54741,44645,65658,58739,45050,7163,7163,5563,0194,9111,8210,7394,3287,0655,3955,6517,573,407,401,00,28,21,89,37192,00077,86815,84727,23880,31070,79983,90465,31117,8977,8977,8616,8512,4264,9731,6442,8060,4724,6182,9471,565,410,026,88,74,47,27,76956,54016,53142,74029,73397,44888,48590,83423,85417,7375,7375,1526,5398,8789,9619,8795,3652,4347,7299,3488,115,221,840,08,68,00,37
37192,00077,86815,84727,23880,31070,79983,90465,31117,8977,8977,8616,8512,4264,9731,6442,8060,4724,6182,9471,565,410,026,88,74,47,27,69796,99638,83536,97295,85195,28824,42550,15400,95339,2154,2154,3895,1616,3142,5396,2032,5570,6204,0956,6434,545,406,314,42,62,73,54,19971,93512,56597,60574,58087,11804,58993,50124,31074,1181,1181,0354,1579,0962,1310,9169,4113,2060,7156,2400,664,889,546,35,90,89,99
69796,99638,83536,97295,85195,28824,42550,15400,95339,2154,2154,3895,1616,3142,5396,2032,5570,6204,0956,6434,545,406,314,42,62,73,54,76956,54016,53142,74029,73397,44888,48590,83423,85417,7375,7375,1526,5398,8789,9619,8795,3652,4347,7299,3488,115,221,840,08,68,00,37,33106,68558,95319,37969,46575,05988,96823,95657,09308,0180,0180,9928,6269,6988,7042,7253,4949,0845,9136,9998,196,283,211,38,48,57,13
76956,54016,53142,74029,73397,44888,48590,83423,85417,7375,7375,1526,5398,8789,9619,8795,3652,4347,7299,3488,115,221,840,08,68,00,37,19971,93512,56597,60574,58087,11804,58993,50124,31074,1181,1181,0354,1579,0962,1310,9169,4113,2060,7156,2400,664,889,546,35,90,89,99,12477,25140,32082,38254,85948,64535,71103,74371,35696,0772,0772,2839,7686,6928,1375,2428,7635,5308,8616,3919,862,830,017,96,06,05,56
19971,93512,56597,60574,58087,11804,58993,50124,31074,1181,1181,0354,1579,0962,1310,9169,4113,2060,7156,2400,664,889,546,35,90,89,99,33106,68558,95319,37969,46575,05988,96823,95657,09308,0180,0180,9928,6269,6988,7042,7253,4949,0845,9136,9998,196,283,211,38,48,57,13,07621,05025,10429,05565,21580,09100,95647,56382,48936,1204,1204,4706,1079,9521,0656,2330,9607,7129,2392,7401,814,846,771,38,75,93,15
