gt_0,gt_1,gt_2,gt_3,gt_4,gt_5,gt_6,gt_7,gt_8,gt_9,gt_10,gt_11,gt_12,gt_13,gt_14,gt_15,gt_16,gt_17,gt_18,gt_19,gt_20,gt_21,gt_22,gt_23,gt_24,gt_25,gt_26,gt_27,gt_28,gt_29,gt_30,gt_31,gt_32,gt_33,gt_34,gt_35,gt_36,gt_37,gt_38,gt_39,gt_40,gt_41,gt_42,gt_43,gt_44,gt_45,gt_46,gt_47,gt_48,gt_49,gt_50,gt_51,gt_52,gt_53,gt_54,gt_55,gt_56,gt_57,gt_58,gt_59,gt_60,gt_61,gt_62,gt_63,gt_64,gt_65,gt_66,gt_67,gt_68,gt_69,gt_70,gt_71,gt_72,gt_73,gt_74,gt_75,gt_76,gt_77,gt_78,gt_79,gt_80,gt_81,gt_82,gt_83,gt_84,gt_85,gt_86,gt_87,gt_88,gt_89,gt_90,gt_91,gt_92,gt_93,gt_94,gt_95,gt_96,gt_97,gt_98,gt_99,gt_100,gt_101,gt_102,gt_103,gt_104,gt_105,gt_106,gt_107,kq_0,kq_1,kq_2,kq_3,kq_4,kq_5,kq_6,kq_7,kq_8,kq_9,kq_10,kq_11,kq_12,kq_13,kq_14,kq_15,kq_16,kq_17,kq_18,kq_19,kq_20,kq_21,kq_22,kq_23,kq_24,kq_25,kq_26
63,63,91,62,70,38,85,51,05,03,03,28,77,51,55,95,00,86,36,37,32,44,95,18,28,76,53,39,85,43,62,90,49,25,15,54,08,08,01,76,11,02,85,54,36,70,22,96,43,94,52,80,48,71,60,16,56,07,04,71,14,14,84,22,22,08,78,50,67,50,85,52,14,66,28,54,36,26,18,50,65,01,99,48,56,45,21,21,29,17,73,73,73,55,88,57,72,78,04,92,55,62,82,21,98,00,30,29,68,26,89,22,97,33,44,93,19,21,21,46,67,02,75,32,54,62,36,92,75,91,32,93,00,41,09
39,85,43,62,90,49,25,15,54,08,08,01,76,11,02,85,54,36,70,22,96,43,94,52,80,48,71,60,16,56,07,04,71,14,14,84,22,22,08,78,50,67,50,85,52,14,66,28,54,36,26,18,50,65,01,99,48,56,45,21,21,29,17,73,73,73,55,88,57,72,78,04,92,55,62,82,21,98,00,30,29,57,42,49,56,17,51,10,26,77,70,70,40,09,27,55,12,22,59,10,62,43,12,39,35,60,11,46,45,44,17,35,81,14,77,30,47,72,72,63,93,96,26,32,12,28,20,43,11,90,80,01,64,46,95
60,16,56,07,04,71,14,14,84,22,22,08,78,50,67,50,85,52,14,66,28,54,36,26,18,50,65,01,99,48,56,45,21,21,29,17,73,73,73,55,88,57,72,78,04,92,55,62,82,21,98,00,30,29,57,42,49,56,17,51,10,26,77,70,70,40,09,27,55,12,22,59,10,62,43,12,39,35,60,11,46,68,26,89,22,97,33,44,93,19,21,21,46,67,02,75,32,54,62,36,92,75,91,32,93,00,41,09,83,21,72,17,20,93,19,82,64,11,11,02,16,12,33,86,80,82,53,79,61,50,29,35,15,05,91
01,99,48,56,45,21,21,29,17,73,73,73,55,88,57,72,78,04,92,55,62,82,21,98,00,30,29,57,42,49,56,17,51,10,26,77,70,70,40,09,27,55,12,22,59,10,62,43,12,39,35,60,11,46,68,26,89,22,97,33,44,93,19,21,21,46,67,02,75,32,54,62,36,92,75,91,32,93,00,41,09,45,44,17,35,81,14,77,30,47,72,72,63,93,96,26,32,12,28,20,43,11,90,80,01,64,46,95,51,08,45,25,85,29,96,49,18,98,98,94,42,34,88,10,22,21,86,90,72,87,76,50,94,95,43
57,42,49,56,17,51,10,26,77,70,70,40,09,27,55,12,22,59,10,62,43,12,39,35,60,11,46,68,26,89,22,97,33,44,93,19,21,21,46,67,02,75,32,54,62,36,92,75,91,32,93,00,41,09,45,44,17,35,81,14,77,30,47,72,72,63,93,96,26,32,12,28,20,43,11,90,80,01,64,46,95,83,21,72,17,20,93,19,82,64,11,11,02,16,12,33,86,80,82,53,79,61,50,29,35,15,05,91,47,72,35,72,41,37,17,33,04,26,26,88,53,72,50,24,15,39,45,02,45,70,26,32,94,50,33
68,26,89,22,97,33,44,93,19,21,21,46,67,02,75,32,54,62,36,92,75,91,32,93,00,41,09,45,44,17,35,81,14,77,30,47,72,72,63,93,96,26,32,12,28,20,43,11,90,80,01,64,46,95,83,21,72,17,20,93,19,82,64,11,11,02,16,12,33,86,80,82,53,79,61,50,29,35,15,05,91,51,08,45,25,85,29,96,49,18,98,98,94,42,34,88,10,22,21,86,90,72,87,76,50,94,95,43,29,40,65,91,85,38,24,24,81,99,99,02,57,75,70,49,46,62,91,35,03,83,96,31,57,47,20
45,44,17,35,81,14,77,30,47,72,72,63,93,96,26,32,12,28,20,43,11,90,80,01,64,46,95,83,21,72,17,20,93,19,82,64,11,11,02,16,12,33,86,80,82,53,79,61,50,29,35,15,05,91,51,08,45,25,85,29,96,49,18,98,98,94,42,34,88,10,22,21,86,90,72,87,76,50,94,95,43,47,72,35,72,41,37,17,33,04,26,26,88,53,72,50,24,15,39,45,02,45,70,26,32,94,50,33,48,73,47,22,27,82,60,21,23,54,54,53,89,51,43,70,09,46,74,88,50,15,84,75,86,03,10
83,21,72,17,20,93,19,82,64,11,11,02,16,12,33,86,80,82,53,79,61,50,29,35,15,05,91,51,08,45,25,85,29,96,49,18,98,98,94,42,34,88,10,22,21,86,90,72,87,76,50,94,95,43,47,72,35,72,41,37,17,33,04,26,26,88,53,72,50,24,15,39,45,02,45,70,26,32,94,50,33,29,40,65,91,85,38,24,24,81,99,99,02,57,75,70,49,46,62,91,35,03,83,96,31,57,47,20,51,11,73,55,84,50,66,36,83,88,88,44,71,42,77,88,74,33,89,40,80,04,17,70,42,44,03
51,08,45,25,85,29,96,49,18,98,98,94,42,34,88,10,22,21,86,90,72,87,76,50,94,95,43,47,72,35,72,41,37,17,33,04,26,26,88,53,72,50,24,15,39,45,02,45,70,26,32,94,50,33,29,40,65,91,85,38,24,24,81,99,99,02,57,75,70,49,46,62,91,35,03,83,96,31,57,47,20,48,73,47,22,27,82,60,21,23,54,54,53,89,51,43,70,09,46,74,88,50,15,84,75,86,03,10,73,68,05,62,87,86,29,41,98,75,75,25,74,00,73,80,72,97,22,30,60,02,04,48,23,69,70
47,72,35,72,41,37,17,33,04,26,26,88,53,72,50,24,15,39,45,02,45,70,26,32,94,50,33,29,40,65,91,85,38,24,24,81,99,99,02,57,75,70,49,46,62,91,35,03,83,96,31,57,47,20,48,73,47,22,27,82,60,21,23,54,54,53,89,51,43,70,09,46,74,88,50,15,84,75,86,03,10,51,11,73,55,84,50,66,36,83,88,88,44,71,42,77,88,74,33,89,40,80,04,17,70,42,44,03,01,85,08,79,14,27,15,15,34,75,75,06,57,79,98,77,04,23,84,76,83,67,64,63,40,49,03
